City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,al hudaydah,14.7978,42.9545,29.57,73,52,3.86,YE,1697850590
303,bukama,-9.2,25.85,20.55,95,100,1.85,CD,1697850590
304,fomboni,-12.28,43.7425,26.76,76,5,3.28,KM,1697850590
305,nadi,-17.8,177.4167,30.0,54,40,6.17,FJ,1697850591
306,tamanrasset,22.785,5.5228,22.69,20,0,1.17,DZ,1697850591
307,tanout,14.9709,8.8879,28.5,15,94,4.2,NE,1697850591
308,neiafu,-18.65,-173.9833,27.38,65,20,5.66,TO,1697850591
309,cesky brod,50.0742,14.8608,14.32,91,100,2.34,CZ,1697850592
310,ji'an,27.1172,114.9793,17.06,68,92,3.25,CN,1697850592
311,kavieng,-2.5744,150.7967,26.16,85,100,2.61,PG,1697850592
312,mikun',62.3547,50.0771,-2.38,87,63,3.66,RU,1697850592
313,paulden,34.8856,-112.4682,26.1,15,0,0.89,US,1697850592
314,alofi,-19.0595,-169.9187,23.75,78,31,9.64,NU,1697850593
315,dudinka,69.4058,86.1778,-0.21,85,100,8.9,RU,1697850593
316,tadine,-21.55,167.8833,23.31,62,37,4.61,NC,1697850593
317,lata,40.1629,-8.3327,11.71,89,35,1.42,PT,1697850593
318,tarakan,3.3,117.6333,26.79,81,39,1.41,ID,1697850593
319,pisco,-13.7,-76.2167,19.03,88,100,6.69,PE,1697850593
320,nabire,-3.3667,135.4833,30.3,63,36,1.28,ID,1697850594
321,camacupa,-12.0167,17.4833,17.89,75,100,1.45,AO,1697850594
322,mercedes,-34.6515,-59.4307,18.77,68,8,4.62,AR,1697850594
323,portland,45.5234,-122.6762,19.8,83,20,4.12,US,1697850337
324,sandnessjoen,66.0217,12.6316,-9.71,46,2,4.09,NO,1697850594
325,pathein,16.7833,94.7333,25.81,89,4,2.53,MM,1697850594
326,cabo san lucas,22.8909,-109.9124,23.75,84,100,3.58,MX,1697850014
327,darnah,32.767,22.6367,23.45,57,3,4.33,LY,1697850595
328,arkhangel'sk,64.5401,40.5433,0.33,68,100,5.44,RU,1697850595
329,fort st. john,56.2499,-120.8529,6.94,52,0,3.29,CA,1697850463
330,zabol,32.25,67.25,12.23,44,1,3.74,AF,1697850595
331,trail,49.0998,-117.7022,14.27,73,100,0.29,CA,1697850596
332,ust-tsilma,65.441,52.1498,-0.25,91,100,7.46,RU,1697850596
333,port augusta,-32.5,137.7667,19.01,37,100,8.35,AU,1697850596
334,port alfred,-33.5906,26.891,17.32,97,100,6.94,ZA,1697850596
335,kibaha,-6.7667,38.9167,21.93,94,63,0.98,TZ,1697850560
336,pampa del indio,-26.0647,-59.919,23.27,84,4,2.09,AR,1697850596
337,palmer,42.1584,-72.3287,16.25,85,100,2.57,US,1697850597
338,xinqing,48.2333,129.5,-0.67,38,0,4.26,CN,1697850598
339,natal,-5.795,-35.2094,26.36,78,40,4.63,BR,1697850598
340,koror,7.3398,134.4733,30.18,70,75,1.54,PW,1697850598
341,sisimiut,66.9395,-53.6735,-4.62,68,1,2.5,GL,1697850598
342,pimentel,-6.8367,-79.9342,20.16,88,75,5.66,PE,1697850598
343,sabancuy,18.9667,-91.1833,25.5,71,96,4.0,MX,1697850599
344,puerto deseado,-47.7503,-65.8938,8.02,58,100,6.01,AR,1697850599
345,geraldton,-28.7667,114.6,23.23,49,100,2.57,AU,1697850599
346,dingwall,57.5953,-4.4272,7.26,86,100,10.01,GB,1697850599
347,egilsstadir,65.2653,-14.3948,4.18,96,86,2.35,IS,1697850600
348,tukrah,32.5341,20.5791,25.34,33,0,5.9,LY,1697850600
349,thaba-tseka,-29.522,28.6084,14.05,47,9,3.0,LS,1697850600
350,greenville,35.6127,-77.3663,15.02,96,100,1.79,US,1697850380
351,palikir - national government center,6.9248,158.1611,30.47,74,75,3.6,FM,1697850601
352,saint-philippe,-21.3585,55.7679,22.77,82,44,2.22,RE,1697850601
353,chadron,42.8294,-102.9999,14.92,63,0,4.63,US,1697850604
354,fort wellington,6.4,-57.6,27.58,82,96,4.17,GY,1697850606
355,as sulayyil,20.4607,45.5779,23.14,31,0,2.19,SA,1697850606
356,viedma,-40.8135,-62.9967,15.03,68,100,6.89,AR,1697850364
357,lincoln,40.8,-96.667,21.76,49,0,3.69,US,1697850072
358,kyren,51.6828,102.1408,4.82,71,6,0.82,RU,1697850610
359,klyuchi,52.2667,79.1667,10.11,53,100,5.58,RU,1697850611
360,alvaraes,-3.2208,-64.8042,27.93,53,100,1.37,BR,1697850611
